id;asn;location
"23676";"134874";"DE-CIX Mumbai: Mumbai IX"
"23677";"23777";"JPNAP Tokyo: Peering"
"23678";"263520";"IX.br (PTT.br) Porto Alegre: ATM/MPLA"
"23679";"15164";"MegaIX Dallas"
"23680";"15164";"DE-CIX Dallas: DE-CIX Dallas Peering LAN"
"23681";"15164";"OmahaIX"
"23682";"15164";"KCIX"
"23683";"37718";"CAMIX Douala: Main"
"23684";"18015";"AKL-IX (Auckland NZ): AKL-IX"
"23685";"18015";"MegaIX Auckland: MegaIX"
"23686";"267278";"IX.br (PTT.br) Campina Grande: ATM/MPLA"
"23687";"39781";"Equinix Paris: Equinix IX - PA Metro"
"23688";"39781";"France-IX Paris"
"23689";"265675";"PIT Santiago - PIT Chile: LAN"
"23690";"60314";"CATNIX"
"23691";"328106";"NAPAfrica IX Johannesburg: Peering"
"23692";"54578";"MICE: Shared Peering"
"23693";"54578";"IX-Denver: IX-Denver Fabric"
"23694";"38090";"Equinix Singapore"
"23695";"38090";"AMS-IX"
"23696";"60144";"AMS-IX"
"23697";"264096";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23698";"265016";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23699";"201427";"EPIX.Warszawa-KIX"
"23700";"201427";"EPIX.Katowice"
"23701";"50509";"Eurasia Peering IX: Peering LAN"
"23702";"263450";"IX.br (PTT.br) Manaus: ATM/MPLA"
"23703";"51790";"SIX SI"
"23704";"62282";"BALT-IX: BALT-IX"
"23705";"197964";"SwissIX: Peering"
"23706";"136373";"Extreme IX Mumbai: Extreme IX"
"23707";"263016";"IX.br (PTT.br) São Paulo: ATM/MPLA"
"23708";"266203";"IX.br (PTT.br) Foz do Iguaçu: ATM/MLPA"
"23709";"57055";"EPIX.Katowice"
"23710";"57055";"EPIX.Warszawa-KIX"
